Name MC MP
"Bitcoin (Биткоин)" 111,698,441,848,687 61%
"Ethereum (Эфириум)" 37,630,386,681,877 21%
"Tether (Тезер)" 9,831,293,923,482 5%
BNB 7,693,489,246,592 4%
"Solana (Солана)" 5,407,452,089,253 3%
USDC 2,861,840,879,372 2%
XRP 2,405,842,914,880 1%
"Dogecoin (Догекоин)" 1,561,330,678,966 1%
"Toncoin (Тонкоин)" 1,532,429,634,056 1%
"Cardano (Кардано)" 1,195,738,940,505 1%
