Name MC MP
"Bitcoin (Биткоин)" 111,642,803,196,616 61%
"Ethereum (Эфириум)" 37,629,399,648,162 21%
"Tether (Тезер)" 9,838,003,020,173 5%
BNB 7,697,319,773,482 4%
"Solana (Солана)" 5,405,496,044,417 3%
USDC 2,863,399,414,838 2%
XRP 2,405,972,200,468 1%
"Dogecoin (Догекоин)" 1,561,158,240,999 1%
"Toncoin (Тонкоин)" 1,534,558,771,544 1%
"Cardano (Кардано)" 1,195,995,589,418 1%
